Title,Skill Level,Yarn Brand,Yarn Name,Yarn Weight,Hook Size,Stitches,Color,Category,Pattern Link
Easy Crochet Blanket Stitch Baby Blanket,2. Easy,Lion Brand,Baby Soft,Weight 3 - Light,6 mm (J-10),"Double Crochet , Single Crochet",Pink,Pink,https://easycrochet.com/blanket-stitch-crochet-baby-blanket/
Nusa Mesh Net Crochet Sweater,2. Easy,Caron Yarn,Caron Cakes,Weight 4 - Medium,5 mm (H-8),,Blue,Crochet Clothing,https://easycrochet.com/partner/nusa-mesh-net-crochet-sweater/
Raffia Summer Crochet Bag,2. Easy,,,Weight 4 - Medium,7 mm,Half Double Crochet,Neutral,"Crochet Bags & Purses This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/raffia-summer-crochet-bag/
Sideways Jumper,2. Easy,,,Weight 4 - Medium,5.5 mm (I-9),Half Double Crochet,Yellow,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/sideways-jumper/
The Kenyon Beginners Crochet Mesh Sweater Top,2. Easy,Loops and Threads,,Weight 4 - Medium,4 mm (G-6),,White,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/the-kenyon-beginners-crochet-mesh-sweater-top/
Worry Worm Crochet Pattern,1. Basic,Paintbox Yarn,Simply Aran,Weight 4 - Medium,4.5 mm (7),"Double Crochet , Single Crochet , Slip Stitch","Neutral , Red",Neutral,https://easycrochet.com/partner/worry-worm-crochet-pattern/
Magic Crochet Potholder,"1. Basic , 2. Easy",WeCrochet,Dishie,Weight 4 - Medium,4 mm (G-6),"Half Double Crochet , Half Double Crochet Back Loop , Single Crochet , Slip Stitch , Slip Stitch Back Loop","Neutral , White",Neutral,https://easycrochet.com/partner/magic-crochet-potholder/
Franny Granny Square Cardigan,3. Intermediate,Lion Brand,,Weight 4 - Medium,4.5 mm (7),Double Crochet,,Crochet Cardigans,https://easycrochet.com/partner/franny-granny-square-cardigan/
Kid’s Hooded Vest,2. Easy,Paintbox Yarn,,Weight 4 - Medium,6 mm (J-10),"Moss / Linen , Single Crochet","Blue , Gray , White",Baby Sweaters,https://easycrochet.com/partner/kids-hooded-vest/
Blossom Baby Blanket,1. Basic,Lion Brand,"Pound of Love , Wool-Ease",Weight 4 - Medium,5 mm (H-8),"Single Crochet , Triple Crochet","Pink , White",Pink,https://easycrochet.com/partner/blossom-baby-blanket/
Spring to Summer Light Mesh Top,2. Easy,Red Heart,,Weight 4 - Medium,4.5 mm (7),,Pink,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/spring-to-summer-light-mesh-top/
Raku Oversized Chunky Crochet Coat Cardigan,2. Easy,Bernat,,Weight 4 - Medium,"4 mm (G-6) , 5 mm (H-8)",,Gray,"Crochet Cardigans This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/raku-oversized-chunky-crochet-coat-cardigan/
Leni Washcloth,2. Easy,Knit Picks,Wool of the Andes Worsted,Weight 4 - Medium,5 mm (H-8),,Yellow,Knit Home Decor,https://easycrochet.com/partner/leni-washcloth/
Blooming Granny Square,3. Intermediate,Caron Yarn,Caron Cakes,Weight 4 - Medium,5 mm (H-8),Double Crochet,"Blue , Green , White",Blue,https://easycrochet.com/partner/blooming-granny-square/
Shift Granny Square,3. Intermediate,Caron Yarn,Caron Cakes,Weight 4 - Medium,5 mm (H-8),Double Crochet,"Neutral , Orange , Pink , Purple",Neutral,https://easycrochet.com/partner/shift-granny-square/
Gabi Washcloth,2. Easy,Knit Picks,Wool of the Andes Worsted,Weight 4 - Medium,5 mm (H-8),,Yellow,Knit Home Decor,https://easycrochet.com/partner/gabi-washcloth/
Weekend Granny Square,3. Intermediate,Caron Yarn,Caron Cakes,Weight 4 - Medium,5 mm (H-8),Double Crochet,"Neutral , Orange , Pink , Purple",Neutral,https://easycrochet.com/partner/weekend-granny-square/
Sami Washcloth,2. Easy,Knit Picks,Wool of the Andes Worsted,Weight 4 - Medium,5 mm (H-8),,Yellow,Knit Home Decor,https://easycrochet.com/partner/sami-washcloth/
Sarah J Blanket,2. Easy,Stylecraft,,Weight 4 - Medium,,,Pink,"Knit Baby Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/sarah-j-blanket/
#1 Bobble Blanket,2. Easy,Yarnspirations,Caron Cakes,Weight 4 - Medium,5 mm (H-8),"Bobble , Double Crochet , Single Crochet",Variegated,Variegated,https://easycrochet.com/partner/1-bobble-blanket/
Abi Washcloth,"1. Basic , 2. Easy",WeCrochet,Wool of the Andes Worsted,Weight 4 - Medium,5 mm (H-8),,Yellow,Knit Home Decor,https://easycrochet.com/partner/abi-washcloth/
The Buttoned Crochet Grandpa Coat Cardigan,2. Easy,Lion Brand,,Weight 4 - Medium,6 mm (J-10),,,"Crochet Cardigans This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/the-buttoned-crochet-grandpa-coat-cardigan/
Granny Stitch Hat,2. Easy,Lion Brand,,Weight 4 - Medium,4 mm (G-6),Double Crochet,,Crochet Hats,https://easycrochet.com/partner/granny-stitch-hat/
Daniel Diamond Blanket,3. Intermediate,Hobbii,,Weight 4 - Medium,6 mm (J-10),Tunisian Simple Stitch,"Blue , Green",Crochet Baby Blankets,https://easycrochet.com/partner/daniel-diamond-blanket/
The Lola Easy Oversized Crochet Pullover Sweater,2. Easy,Lion Brand,Heartland,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Half Double Crochet , Single Crochet",Green,Green,https://easycrochet.com/partner/the-lola-easy-oversized-crochet-pullover-sweater/
Shipka Cardigan,2. Easy,WeCrochet,,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Single Crochet",Brown,Crochet Cardigans,https://easycrochet.com/partner/shipka-cardigan/
"The Fast, Easy, Done in Day Crochet Scarf",1. Basic,Loops and Threads,,Weight 4 - Medium,6 mm (J-10),Double Crochet,,"Crochet Scarves This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/the-fast-easy-done-in-day-crochet-scarf/
The Petra Easy Textured Crochet Sweater,2. Easy,,,Weight 4 - Medium,5 mm (H-8),,,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/the-petra-easy-textured-crochet-sweater/
Alternating Christmas Afghan,2. Easy,Red Heart,Super Saver,Weight 4 - Medium,5.5 mm (I-9),"Half Double Crochet , Slip Stitch","Green , Red , White",Green,https://easycrochet.com/partner/alternating-christmas-afghan/
Crochet Granny Diamond Beanie,2. Easy,,,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Single Crochet , Single Crochet Two Together , Slip Stitch",,"Crochet Hats This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-granny-diamond-beanie/
The Fall to Winter Crochet Sweater,2. Easy,Loops and Threads,,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Single Crochet","Brown , White",Crochet Clothing,https://easycrochet.com/partner/the-fall-to-winter-crochet-sweater/
Theo Amigurumi No Sew Bunny,2. Easy,,,Weight 4 - Medium,4.5 mm (7),Single Crochet,"Blue , Gray , White , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/theo-amigurumi-no-sew-bunny/
Your First Crochet Beginner Sweater Pattern,2. Easy,Caron Yarn,Caron Cakes,Weight 4 - Medium,4.5 mm (7),Half Double Crochet,"Blue , Brown",Blue,https://easycrochet.com/partner/your-first-crochet-beginner-sweater-pattern/
Victoria Easy Chunky Crochet Cardigan,2. Easy,Lion Brand,Wool-Ease,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Half Double Crochet , Single Crochet","Pink , White",Pink,https://easycrochet.com/partner/victoria-easy-chunky-crochet-cardigan/
Abi Baby Blanket,2. Easy,Knit Picks,Brava Worsted,Weight 4 - Medium,5 mm (H-8),,Brown,Knit Baby Blankets,https://easycrochet.com/partner/abi-baby-blanket/
Flower Granny Bag,3. Intermediate,"Knit Picks , WeCrochet",Upcycle Alpaca Blend Worsted,Weight 4 - Medium,4.5 mm (7),"Double Crochet , Half Double Crochet , Single Crochet",Neutral,Neutral,https://easycrochet.com/partner/flower-granny-bag/
Franny Granny Poncho,2. Easy,Knit Picks,Upcycle Alpaca Blend Worsted,Weight 4 - Medium,4.5 mm (7),"Double Crochet , Single Crochet",Neutral,Neutral,https://easycrochet.com/partner/franny-granny-poncho/
Holiday Lace and Mesh Crochet Top,2. Easy,Lion Brand,24/7 Cotton,Weight 4 - Medium,4 mm (G-6),"Double Crochet , Half Double Crochet , Single Crochet",Red,Red,https://easycrochet.com/partner/holiday-lace-and-mesh-crochet-top/
Emerald Opulence Hexagon Crochet Blanket,2. Easy,,,Weight 4 - Medium,3.5 mm (E-4),"Double Crochet , Single Crochet","Green , Purple , Red , Yellow","Crochet Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/emerald-opulence-hexagon-crochet-blanket/
Baroco Placemat,2. Easy,Hobbii,,Weight 4 - Medium,6.5 mm (K-10.5),Tunisian Simple Stitch,"Green , Red",Christmas Crochet Patterns,https://easycrochet.com/partner/baroco-placemat/
Crochet Project Bag Pattern,2. Easy,Lion Brand,Pound of Love,Weight 4 - Medium,6 mm (J-10),"Moss / Linen , Single Crochet",Pink,Pink,https://easycrochet.com/partner/crochet-project-bag-pattern/
How to Crochet a Hat for Beginners,2. Easy,Lion Brand,Heartland,Weight 4 - Medium,5.5 mm (I-9),"Double Crochet , Single Crochet",Neutral,Neutral,https://easycrochet.com/how-to-crochet-a-hat/
Tweed Stacking Pumpkins,2. Easy,WeCrochet,Brava Worsted,Weight 4 - Medium,4.5 mm (7),Double Crochet,"Brown , Green , Orange",Brown,https://easycrochet.com/partner/tweed-stacking-pumpkins/
Easy Crochet Winter Scarf Pattern,2. Easy,Lion Brand,Touch of Alpaca,Weight 4 - Medium,6.5 mm (K-10.5),"Double Crochet , Half Double Crochet",Red,Red,https://easycrochet.com/crochet-winter-scarf-pattern/
Amigurumi Ghost,2. Easy,Lion Brand,,Weight 4 - Medium,3.75 mm (F-5),"Single Crochet , Single Crochet Two Together , Slip Stitch","Green , White",Amigurumi,https://easycrochet.com/partner/amigurumi-ghost/
Fall Apple Crochet Coaster,2. Easy,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,4.5 mm (7),"Double Crochet , Half Double Crochet , Single Crochet , Slip Stitch",Red,Red,https://easycrochet.com/crochet-apple-coaster/
Pillow The Owl,"3. Intermediate , 4. Complex",Red Heart,24/7 Cotton,Weight 4 - Medium,"2.75 mm (C-2) , 3.25 mm (D-3)","Double Crochet , Single Crochet , Slip Stitch",,Amigurumi,https://easycrochet.com/partner/pillow-the-owl/
Into The Wild Blanket Pattern,2. Easy,Stylecraft,Simply Aran,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Single Crochet",Neutral,Neutral,https://easycrochet.com/partner/into-the-wild-blanket-pattern/
Shelby The Snail Blanket Pattern,3. Intermediate,Stylecraft,Simply Aran,Weight 4 - Medium,5 mm (H-8),Double Crochet,Neutral,Neutral,https://easycrochet.com/partner/shelby-the-snail-blanket-pattern/
The Heath Crochet Blanket,2. Easy,Lion Brand,Re-Spun,Weight 4 - Medium,9 mm (M/N-13),"Double Crochet , Single Crochet",White,White,https://easycrochet.com/partner/the-heath-crochet-blanket/
Cottage Pouffe,2. Easy,WeCrochet,Wool of the Andes Worsted,Weight 4 - Medium,8 mm (L-11),Tunisian Simple Stitch,"Brown , Gray , Green , Yellow",Brown,https://easycrochet.com/partner/cottage-pouffe/
Tunisian Crossed Basketweave Cowl,2. Easy,,,Weight 4 - Medium,6 mm (J-10),"Tunisian Knit Stitch , Tunisian Purl Stitch , Tunisian Simple Stitch","Green , Red","Crochet Cowls This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/tunisian-crossed-basketweave-cowl/
Melissa Throw,3. Intermediate,WeCrochet,Brava Worsted,Weight 4 - Medium,7 mm,Tunisian Simple Stitch,"Brown , Neutral",Brown,https://easycrochet.com/partner/melissa-throw/
Simple Little Washcloth,2. Easy,WeCrochet,Dishie,Weight 4 - Medium,4 mm (G-6),"Double Crochet , Single Crochet","Blue , White",Blue,https://easycrochet.com/partner/simple-little-washcloth/
Mustard and Co Tunisian Crochet Blanket,2. Easy,,,Weight 4 - Medium,6 mm (J-10),"Single Crochet , Tunisian Knit Stitch , Tunisian Purl Stitch , Tunisian Simple Stitch","Blue , Gray , Purple , Yellow","Crochet Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/mustard-and-co-tunisian-crochet-blanket/
Broken Bricks Cowl,2. Easy,Knit Picks,Wool of the Andes Worsted,Weight 4 - Medium,6 mm (J-10),"Tunisian Knit Stitch , Tunisian Purl Stitch , Tunisian Simple Stitch","Green , Neutral",Green,https://easycrochet.com/partner/broken-bricks-cowl/
Modern Colorful Baby Blanket Crochet Pattern,3. Intermediate,Red Heart,Unforgettable,Weight 4 - Medium,6 mm (J-10),Single Crochet,Variegated,Variegated,https://easycrochet.com/partner/modern-colorful-baby-blanket-crochet-pattern/
Textured Bobble Throw,2. Easy,Caron Yarn,Simply Soft,Weight 4 - Medium,5 mm (H-8),"Bobble , Single Crochet","Blue , Pink",Blue,https://easycrochet.com/partner/textured-bobble-throw/
Daydream Square,3. Intermediate,Lion Brand,,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Double Crochet Increase , Half Double Crochet , Single Crochet , Slip Stitch Back Loop","Brown , Gray , Pink",Brown,https://easycrochet.com/partner/daydream-square/
Deidra Sweater,3. Intermediate,"Knit Picks , WeCrochet",,Weight 4 - Medium,"4.5 mm (7) , 5 mm (H-8)","Half Double Crochet , Half Double Crochet Back Loop , Single Crochet , Slip Stitch",Pink,Crochet Sweaters,https://easycrochet.com/partner/deidra-sweater/
Ahavah Baby Blanket,2. Easy,Yarn and,,Weight 4 - Medium,6 mm (J-10),,"Brown , Pink , Variegated , White","Crochet Baby Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/ahavah-baby-blanket/
Easy Crochet Hot Pads with Handles,1. Basic,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,6 mm (J-10),Half Double Crochet,Neutral,Neutral,https://easycrochet.com/crochet-hot-pad/
Minty Al Fresco Dining Set,2. Easy,Yarn and,,Weight 4 - Medium,5 mm (H-8),Tunisian Simple Stitch,"Blue , Yellow",Crochet Kitchen,https://easycrochet.com/partner/minty-al-fresco-dining-set/
Winding Cables Scarf,2. Easy,,,Weight 4 - Medium,6.5 mm (K-10.5),"Tunisian Knit Stitch , Tunisian Purl Stitch",Orange,"Crochet Scarves This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/winding-cables-scarf/
